machine_id,machine_name,active_status,latest_data_date,days_since_last_seen,weeks_since_last_seen,latest_out_per_unit,latest_sales_per_unit,latest_profit_per_unit,data_count
241,SLOTバジリスク～甲賀忍法帖～絆2,準現役,2025-09-10,287,41.0,1634.0,4987.0,1277.0,86
253,パチスロ ケロット4,準現役,2025-09-10,287,41.0,4825.0,10970.0,3132.0,81
293,サンダーVライトニング,準現役,2025-09-10,287,41.0,3591.0,7173.0,1275.0,2
307,パチスロ モンキーターンⅣ,準現役,2025-09-10,287,41.0,2216.0,7208.0,454.0,21
337,シャア専用パチスロ 逆襲の赤い彗星,準現役,2025-12-10,196,28.0,6288.0,21267.0,4225.0,54
395,アイムジャグラーEX(2020年),現役,2026-06-24,0,0.0,7937.0,15726.0,2229.0,232
397,パチスロひぐらしのなく頃に祭2,準現役,2025-09-10,287,41.0,6793.0,12004.0,-264.0,17
411,パチスロ頭文字D,準現役,2025-09-10,287,41.0,2883.0,8178.0,654.0,91
432,パチスロ BIOHAZARD 7 resident evil,準現役,2025-09-10,287,41.0,2885.0,9681.0,1409.0,91
442,PAわんわんパラダイスV GBA,準現役,2024-10-30,602,86.0,9480.0,14513.0,2773.0,183
453,パチスロ北斗の拳 宿命,準現役,2025-09-10,287,41.0,1879.0,6345.0,654.0,18
469,ニューパルサーSPⅢ,準現役,2025-09-10,287,41.0,3104.0,7445.0,1893.0,73
492,P大海物語4 スペシャル BLACK SCA,準現役,2024-09-25,637,91.0,11590.0,16737.0,2367.0,140
503,チバリヨ-30(2021年),準現役,2025-09-10,287,41.0,3225.0,10109.0,966.0,110
511,P NEW TOKIO ハカマタイプ,現役,2026-06-24,0,0.0,15490.0,9597.0,734.0,184
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,準現役,2025-09-10,287,41.0,1782.0,5733.0,1593.0,8
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,準現役,2025-05-07,413,59.0,10660.0,15096.0,3378.0,168
567,ファンキージャグラー2,現役,2026-06-24,0,0.0,9179.0,17754.0,2624.0,229
569,Pうまい棒 4500～10500,準現役,2025-04-09,441,63.0,7030.0,16151.0,5047.0,121
576,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,現役,2026-06-10,14,2.0,7490.0,14945.0,3415.0,141
599,P野生の王国GO 99ver.,準現役,2025-12-03,203,29.0,8480.0,12715.0,2736.0,152
604,パチスロうまい棒(2021年),準現役,2025-09-10,287,41.0,1133.0,3213.0,547.0,14
605,マイジャグラーⅤ,現役,2026-06-24,0,0.0,13892.0,24246.0,2714.0,227
611,パチスロ 戦姫絶唱シンフォギア 勇気の歌,準現役,2025-09-10,287,41.0,2233.0,7337.0,800.0,75
612,沖ドキ!DUO,準現役,2025-09-10,287,41.0,2522.0,10630.0,1880.0,103
613,沖ドキ!DUO-30,準現役,2025-09-10,287,41.0,2119.0,9249.0,1973.0,91
615,P Re:ゼロから始める異世界生活 鬼がかりver.,準現役,2025-02-05,504,72.0,8770.0,19274.0,3564.0,139
621,バーサスリヴァイズ,準現役,2025-09-10,287,41.0,7200.0,11888.0,627.0,111
628,パチスロ ディスクアップ2,準現役,2025-09-10,287,41.0,8519.0,15505.0,-511.0,134
630,パチスロアラジンAクラシック,準現役,2025-09-10,287,41.0,2401.0,9168.0,1135.0,41
633,押忍!番長ZERO,準現役,2025-09-10,287,41.0,4388.0,13942.0,2425.0,104
642,ハナハナホウオウ～天翔～,準現役,2025-09-10,287,41.0,3570.0,6784.0,1865.0,71
643,ハナハナホウオウ～天翔～-30,準現役,2026-01-07,168,24.0,10265.0,15933.0,3411.0,183
650,SLOTマッピー,準現役,2025-09-10,287,41.0,8250.0,12842.0,-1788.0,35
665,ニューパルサーDXⅢ,準現役,2025-09-10,287,41.0,4355.0,9087.0,1828.0,38
670,沖ドキ!2-30,準現役,2025-09-10,287,41.0,3239.0,9111.0,2549.0,18
681,パチスロ この素晴らしい世界に祝福を!,現役,2026-06-24,0,0.0,7443.0,18008.0,2377.0,202
684,新ハナビ,準現役,2025-12-10,196,28.0,8762.0,13584.0,172.0,96
705,PAコマコマ倶楽部with坂本冬美 99ver.,準現役,2024-11-20,581,83.0,8470.0,12542.0,2822.0,125
723,スーパーハナハナ2-30,準現役,2026-04-08,77,11.0,6938.0,20497.0,4946.0,121
724,ニューゲッターマウス,準現役,2025-09-10,287,41.0,3732.0,6642.0,886.0,33
727,パチスロ 甲鉄城のカバネリ,準現役,2025-09-10,287,41.0,4991.0,15813.0,1239.0,98
740,黄門ちゃま喝2,準現役,2025-09-10,287,41.0,3000.0,9980.0,2279.0,62
744,パチスロ 新鬼武者2,準現役,2025-09-10,287,41.0,4075.0,12941.0,1211.0,77
747,PA新海物語 ARBB,準現役,2025-10-22,245,35.0,9360.0,10960.0,1673.0,65
764,パチスロペルソナ5,準現役,2025-09-10,287,41.0,3000.0,8357.0,1018.0,31
774,パチスロ バイオハザード RE:2,準現役,2025-09-10,287,41.0,3838.0,11336.0,1519.0,68
776,パチスロハードボイルド(2022年),準現役,2025-09-10,287,41.0,3215.0,8133.0,701.0,32
783,ハッピージャグラーVⅢ,現役,2026-06-24,0,0.0,8132.0,15587.0,2458.0,184
795,花火絶景,準現役,2025-09-10,287,41.0,1665.0,6018.0,822.0,16
798,Lパチスロ 革命機ヴァルヴレイヴ,準現役,2025-11-12,224,32.0,6678.0,26314.0,2286.0,132
799,L HEY!エリートサラリーマン鏡,準現役,2025-09-10,287,41.0,4359.0,13340.0,1755.0,31
816,沖ドキ!GOLD,現役,2026-06-24,0,0.0,6463.0,25221.0,3803.0,172
817,沖ドキ!GOLD-30,現役,2026-06-24,0,0.0,6590.0,25078.0,3052.0,174
820,Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,現役,2026-06-24,0,0.0,10830.0,16303.0,3220.0,171
828,パチスロ モンスターハンターワールド:アイスボーン,準現役,2025-09-10,287,41.0,2273.0,6838.0,1192.0,42
830,P大海物語5 MTE2,現役,2026-06-24,0,0.0,17570.0,28572.0,2203.0,168
831,P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT ver.,現役,2026-06-24,0,0.0,8790.0,16897.0,2735.0,137
841,パチスロ盾の勇者の成り上がり,準現役,2025-09-10,287,41.0,2178.0,6527.0,1088.0,14
849,パチスロ機動戦士ガンダムユニコーン,準現役,2025-09-10,287,41.0,1536.0,5420.0,287.0,22
850,戦国コレクション5,準現役,2025-09-10,287,41.0,1432.0,6153.0,1201.0,36
851,P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,現役,2026-06-24,0,0.0,11150.0,17549.0,3931.0,162
854,キングハナハナ-30(2023年),現役,2026-06-24,0,0.0,10784.0,17227.0,1227.0,163
858,Lスマスロ北斗の拳,準現役,2025-09-10,287,41.0,7380.0,24216.0,1572.0,117
864,Lゴブリンスレイヤー,準現役,2026-02-11,133,19.0,6048.0,26996.0,6112.0,46
866,Pフィーバー炎炎ノ消防隊 G,準現役,2024-09-04,658,94.0,9230.0,20181.0,3244.0,68
868,アナザーゴッドハーデス-解き放たれし槍撃ver.-,準現役,2025-09-10,287,41.0,2059.0,9699.0,1318.0,18
870,L主役は銭形4,準現役,2025-09-10,287,41.0,4577.0,18505.0,1980.0,61
875,P北斗の拳 暴凶星 SFPA,準現役,2026-01-14,161,23.0,9910.0,20905.0,3503.0,133
878,パチスロ 炎炎ノ消防隊,準現役,2025-09-10,287,41.0,3027.0,10205.0,1307.0,65
880,Lスロット ソードアート・オンライン,現役,2026-06-17,7,1.0,8683.0,24420.0,1822.0,48
899,パチスロコードギアス 反逆のルルーシュ3 C.C.&Kallen ver.,準現役,2025-09-10,287,41.0,4717.0,9987.0,736.0,31
906,Lパチスロ からくりサーカス,準現役,2025-10-29,238,34.0,5721.0,23525.0,2958.0,115
907,PA大海物語5 Withアグネス・ラム ARBC,現役,2026-06-24,0,0.0,12610.0,15114.0,2156.0,148
914,ゴーゴージャグラー3,現役,2026-06-24,0,0.0,11045.0,20278.0,2524.0,149
916,パチスロナイツ,準現役,2025-09-10,287,41.0,3552.0,8855.0,1228.0,27
917,PフィーバークィーンⅡ30th ANNIVERSARY EDITION V,準現役,2026-04-22,63,9.0,9180.0,12504.0,2554.0,21
919,パチスロ 戦国†恋姫,準現役,2026-03-04,112,16.0,9248.0,17216.0,1261.0,90
923,Lぱちスロ 乃木坂46,準現役,2025-09-10,287,41.0,3760.0,13599.0,1086.0,41
925,Lスマスロキン肉マン～7人の悪魔超人編～,現役,2026-06-10,14,2.0,6970.0,31749.0,4127.0,53
936,P新世紀エヴァンゲリオン～未来への咆哮～,準現役,2026-05-13,42,6.0,11080.0,24086.0,3259.0,122
938,L戦国乙女4 戦乱に閃く炯眼の軍師,現役,2026-06-17,7,1.0,7373.0,23457.0,1899.0,98
943,パチスロ傷物語 -始マリノ刻-,準現役,2025-09-10,287,41.0,1702.0,6727.0,1010.0,12
944,ファミスタ回胴版!!,準現役,2025-09-10,287,41.0,5101.0,12176.0,1557.0,41
945,回胴式遊技機 グランベルム,準現役,2025-09-10,287,41.0,3329.0,9904.0,1724.0,31
946,L戦国コレクション5超極楽LOOP,準現役,2025-09-10,287,41.0,3922.0,16052.0,990.0,53
947,L麻雀格闘倶楽部 覚醒,準現役,2025-09-10,287,41.0,6028.0,17430.0,2182.0,67
953,Lスマスロ転生したらスライムだった件,準現役,2025-09-10,287,41.0,3368.0,11177.0,1098.0,15
966,L ひぐらしのなく頃に 業,準現役,2025-09-10,287,41.0,5984.0,12354.0,744.0,9
967,Lスマスロとある魔術の禁書目録,準現役,2025-09-10,287,41.0,3974.0,13143.0,1023.0,28
974,P真・北斗無双 第4章 下剋上闘 GRPJ,準現役,2024-07-24,700,100.0,8540.0,19407.0,3205.0,34
976,パチスロ交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,準現役,2025-12-03,203,29.0,6683.0,13012.0,1929.0,64
979,e Re:ゼロから始める異世界生活 season2 M13,準現役,2026-01-07,168,24.0,12320.0,28387.0,4738.0,99
982,LスマスロモンキーターンⅤ,現役,2026-06-24,0,0.0,7775.0,25311.0,1157.0,120
983,Lマジカルハロウィン8,準現役,2025-09-10,287,41.0,4931.0,12807.0,2218.0,37
984,Lラブ嬢3～Wご指名はいかがですか?～,現役,2026-06-17,7,1.0,5760.0,21317.0,4354.0,74
985,L花の慶次～佐渡攻めの章～,準現役,2024-07-24,700,100.0,5003.0,19622.0,3874.0,29
988,P大海物語5 ブラック HCL,現役,2026-06-24,0,0.0,9370.0,16489.0,2645.0,116
989,クランキークレスト,準現役,2025-09-10,287,41.0,6365.0,12662.0,1283.0,77
991,L スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,現役,2026-06-17,7,1.0,6369.0,23838.0,2805.0,38
992,Pぱちんこ シン・エヴァンゲリオン Type レイ,準現役,2025-05-07,413,59.0,11230.0,24452.0,3643.0,67
996,ドラゴンハナハナ～閃光～-30,現役,2026-06-24,0,0.0,9628.0,14959.0,1135.0,126
997,パチスロ ファイヤードリフト,準現役,2025-09-10,287,41.0,1988.0,6551.0,1524.0,11
998,L 仮面ライダー 7RIDERS,準現役,2024-07-10,714,102.0,5853.0,22089.0,3257.0,25
999,Lスマスロ バイオハザード:ヴィレッジ,準現役,2025-09-10,287,41.0,2647.0,8825.0,346.0,10
1000,Lパチスロ マクロスフロンティア4,準現役,2025-09-10,287,41.0,2954.0,10435.0,1213.0,18
1004,Pとある魔術の禁書目録2 JMZ,準現役,2024-08-21,672,96.0,11420.0,24116.0,4036.0,29
1008,Pポチッと一発!おだてブタ2 V1,現役,2026-06-24,0,0.0,17180.0,10269.0,1042.0,122
1011,P弾球黙示録カイジ沼5 V1U,準現役,2024-10-09,623,89.0,7470.0,16977.0,3569.0,34
1012,P真・花の慶次3 99ver.,準現役,2024-07-31,693,99.0,8510.0,13971.0,2886.0,21
1013,L GⅠ優駿倶楽部黄金,準現役,2025-09-10,287,41.0,4667.0,16207.0,2398.0,32
1015,Lゴジラ対エヴァンゲリオン,準現役,2025-09-10,287,41.0,4037.0,16090.0,3002.0,50
1016,Lストライクウィッチーズ2,準現役,2024-08-06,687,98.1,5063.0,20891.0,3595.0,26
1017,Lスマスロ コードギアス 反逆のルルーシュ/復活のルルーシュ,準現役,2025-09-10,287,41.0,3854.0,13419.0,2010.0,10
1019,Lパチスロガールズ＆パンツァー 最終章,準現役,2025-12-03,203,29.0,7191.0,23498.0,1901.0,21
1023,P新世紀エヴァンゲリオン ～未来への咆哮～ PREMIUM MODEL,準現役,2024-09-11,651,93.0,10800.0,19580.0,3779.0,30
1025,P真・一騎当千～桃園の誓い～129ver.,準現役,2024-12-18,553,79.0,8640.0,17362.0,3435.0,38
1027,ワードオブライツⅡ,準現役,2025-09-10,287,41.0,2803.0,6544.0,235.0,10
1029,Pニュートキオ GREEN V1,準現役,2024-11-27,574,82.0,9910.0,7023.0,1729.0,20
1030,Pルパン三世 THE FIRST 99ver.,準現役,2025-05-28,392,56.0,8890.0,14292.0,3083.0,54
1031,Lスマスロキングパルサー,準現役,2025-09-10,287,41.0,3113.0,10601.0,1448.0,18
1032,Lチバリヨ2,現役,2026-06-24,0,0.0,6971.0,30960.0,5138.0,115
1033,L南国育ち(2024年),準現役,2025-09-10,287,41.0,4145.0,17574.0,1867.0,23
1035,PLT OVERLORD魔導王光臨 ME,準現役,2024-07-10,714,102.0,8560.0,19277.0,3574.0,14
1039,P世紀末・天才バカボン～福神SPEC～ LTH-JH,準現役,2024-09-04,658,94.0,8880.0,18084.0,3248.0,24
1040,P北斗の拳 強敵 LT SSPA,準現役,2025-04-02,448,64.0,8620.0,15823.0,3073.0,48
1042,P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.,準現役,2024-09-04,658,94.0,11420.0,24142.0,3841.0,25
1045,パチスロ ガメラ2,準現役,2025-09-10,287,41.0,6002.0,15620.0,403.0,31
1047,Lスマート沖スロ ドラゴンハナハナ～閃光～,準現役,2025-09-10,287,41.0,6191.0,10933.0,1706.0,51
1048,L忍魂参 ～奥義皆伝ノ章～,準現役,2025-09-10,287,41.0,3448.0,13074.0,2093.0,19
1049,P sin 七つの大罪 強甘 2400Ver.,準現役,2024-08-28,665,95.0,8340.0,14300.0,3428.0,20
1050,P咲-Saki-全国編 テンパイ即リーver.,準現役,2024-08-06,687,98.1,8360.0,16227.0,3183.0,14
1052,Lうる星やつら(2024年),準現役,2025-09-10,287,41.0,2585.0,10023.0,1998.0,23
1053,Lスマスロ ゴールデンカムイ,準現役,2026-04-29,56,8.0,5485.0,18480.0,4582.0,18
1054,Lスマスロ ストライク・ザ・ブラッド,準現役,2025-09-10,287,41.0,3703.0,9342.0,505.0,10
1056,Pひぐらしのなく頃に 輪廻転生 FM-JT,準現役,2024-07-10,714,102.0,8840.0,19745.0,3475.0,11
1057,Pバイオハザード RE:2 LTver.,準現役,2024-10-09,623,89.0,8470.0,19245.0,2860.0,25
1060,P大工の源さん超韋駄天2 極源LighT,準現役,2024-10-09,623,89.0,8620.0,16992.0,3062.0,25
1061,ジャグラーガールズSS,現役,2026-06-24,0,0.0,8769.0,16260.0,2339.0,110
1062,L押忍!番長4,準現役,2025-09-10,287,41.0,3903.0,13633.0,1488.0,28
1063,P FAIRY TAIL これが七炎竜の力だ FSA,準現役,2024-09-04,658,94.0,10400.0,22940.0,3665.0,18
1064,PAハイスクール・フリート オールスター すい～とでハッピー!2400,準現役,2024-09-04,658,94.0,10290.0,17126.0,2973.0,18
1066,P牙狼11～冴島大河～XX MU,準現役,2025-01-08,532,76.0,11260.0,23789.0,4890.0,22
1068,e新・必殺仕置人 超斬撃199,準現役,2024-08-21,672,96.0,10790.0,24023.0,4558.0,16
1069,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか2,準現役,2025-09-10,287,41.0,3679.0,7310.0,880.0,12
1070,Pこの素晴らしい世界に祝福を! 199LT「このラッキートリガーに祝福を!」,準現役,2024-07-31,693,99.0,8050.0,16267.0,3619.0,13
1071,L ウルトラマンティガ,準現役,2024-07-10,714,102.0,6411.0,25541.0,3901.0,9
1073,Lパチスロ 炎炎ノ消防隊(2024年),準現役,2025-09-10,287,41.0,5514.0,18268.0,2441.0,36
1075,Pゴブリンスレイヤー ラッキートリガーVer,準現役,2024-09-11,651,93.0,8490.0,17941.0,3362.0,17
1076,Pフィーバー炎炎ノ消防隊 Light ver.,準現役,2025-01-08,532,76.0,10440.0,21236.0,4730.0,24
1078,P七つの大罪2 神千斬りVER.,準現役,2024-07-03,721,103.0,8830.0,17798.0,3074.0,7
1080,ニューパルサーSP4 with 太鼓の達人,準現役,2025-09-10,287,41.0,4637.0,11084.0,1958.0,17
1081,L ToLOVEるダークネス,準現役,2025-09-10,287,41.0,5498.0,26670.0,1930.0,59
1083,Lスマスロ痛いのは嫌なので防御力に極振りしたいと思います。,準現役,2025-09-10,287,41.0,5696.0,17460.0,2201.0,42
1084,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,現役,2026-06-03,21,3.0,6049.0,28544.0,3947.0,26
1085,P ToLOVEるダークネス H1YZ5,準現役,2024-12-04,567,81.0,8840.0,19807.0,3246.0,24
1086,Pうる星やつら～Eternal Love Song～ L2-K,準現役,2024-08-28,665,95.0,8360.0,18255.0,3595.0,11
1087,Pギルティクラウン2 プレミアムライブチケット,準現役,2024-07-10,714,102.0,10830.0,22757.0,4545.0,5
1088,Pクイーンズブレイド4 UNLIMITED V1D,準現役,2024-07-31,693,99.0,8690.0,19213.0,4050.0,8
1089,Pフィーバー三国戦騎 7500,準現役,2024-08-06,687,98.1,7280.0,17490.0,3631.0,8
1090,P頭文字D 2nd GFPG,準現役,2024-06-26,728,104.0,8220.0,18958.0,3390.0,3
1091,P魔法少女まどか☆マギカ3 LM3,準現役,2024-09-11,651,93.0,25670.0,55778.0,8824.0,13
1092,P魔王学院の不適合者 FMY,準現役,2024-08-06,687,98.1,8760.0,19614.0,3682.0,9
1093,アオハル♪操 A-LIVE,準現役,2025-09-10,287,41.0,2900.0,9390.0,1498.0,17
1094,Pラブ嬢 ～極嬢のハーレム体験～ H1YZ6,準現役,2024-11-06,595,85.0,7370.0,17587.0,3931.0,11
1095,沖ドキ!BLACK,現役,2026-06-24,0,0.0,8880.0,34276.0,4698.0,98
1096,L アカメが斬る!2,準現役,2024-08-06,687,98.1,5358.0,20378.0,3642.0,4
1097,Lスマスロ真・北斗無双(2024年),準現役,2025-09-10,287,41.0,3673.0,14701.0,958.0,11
1098,Lパチスロ 戦姫絶唱シンフォギア 正義の歌,準現役,2025-09-10,287,41.0,3397.0,12787.0,2186.0,15
1099,Pアズールレーン THE ANIMATION 異次元トリガー M4,準現役,2024-09-11,651,93.0,18130.0,39355.0,6585.0,8
1100,Pフィーバーありふれた職業で世界最強 Light ver.,準現役,2024-08-06,687,98.1,11010.0,20445.0,3506.0,4
1101,P花の慶次～傾奇一転 L-MX,準現役,2024-09-11,651,93.0,8640.0,19376.0,3865.0,8
1102,P貞子 FMD,準現役,2025-05-14,406,58.0,8940.0,19034.0,4680.0,42
1103,e花の慶次～傾奇一転 L2-MX,準現役,2024-09-25,637,91.0,9010.0,20770.0,3698.0,10
1104,ご～やちゃんぷる～-25,準現役,2024-07-31,693,99.0,5468.0,22118.0,2770.0,3
1105,ご～やちゃんぷる～-30,準現役,2024-07-31,693,99.0,4841.0,18851.0,3547.0,3
1106,バハマ30(2024年),準現役,2024-08-06,687,98.1,5281.0,13195.0,2986.0,4
1107,Lスマスロ ゴッドイーター リザレクション,準現役,2026-01-07,168,24.0,9813.0,34547.0,3606.0,69
1108,Lスロット ゾンビランドサガ,準現役,2026-05-06,49,7.0,7424.0,20720.0,5311.0,28
1109,L賞金首Angel,準現役,2024-08-06,687,98.1,9026.0,35153.0,5398.0,2
1110,PAこの素晴らしい世界に祝福を! 「このゆる甘99に祝福を!」,準現役,2024-09-04,658,94.0,10370.0,15189.0,3319.0,5
1111,ミスタージャグラー,現役,2026-06-24,0,0.0,8955.0,17397.0,2200.0,95
1112,L D4DJ Pachi-Slot Mix,準現役,2024-09-18,644,92.0,5022.0,14758.0,3015.0,5
1113,Lスマスロ ゲゲゲの鬼太郎 覚醒,準現役,2025-09-10,287,41.0,2613.0,12674.0,613.0,14
1114,Lスマスロ トロピカーナ(2024年),準現役,2024-08-21,672,96.0,7171.0,26327.0,4387.0,1
1115,Lワンパンマン,準現役,2024-10-02,630,90.0,6231.0,21971.0,3094.0,7
1116,PAスーパー海物語 IN 地中海2 HLA,準現役,2024-10-23,609,87.0,11190.0,13581.0,1885.0,9
1117,Pフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- S,準現役,2024-10-09,623,89.0,9590.0,22846.0,3269.0,8
1118,P百花繚乱 ご奉仕129ver.,準現役,2024-09-11,651,93.0,12360.0,24474.0,2896.0,4
1119,eフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- R,準現役,2025-03-19,462,66.0,8620.0,19905.0,3122.0,29
1120,e北斗の拳10 GHEG,準現役,2025-01-22,518,74.0,9600.0,21124.0,3427.0,22
1121,Pドラムだ!金ドン 花火外伝 MP,準現役,2024-12-04,567,81.0,7880.0,16688.0,3322.0,15
1122,Pバンドリ! H1YZ4,準現役,2024-11-20,581,83.0,7900.0,17593.0,3267.0,12
