machine_id,machine_name,category,category_size,category_rank_out_4w,category_rank_sales_4w,category_rank_profit_4w,category_top_rate,category_power_score
1312,PA CYBORG009 RULE OF SACRIFICE LT99Ver,パチンコ,176,126.0,134.0,118.0,0.2897727272727273,28.5
1313,PAフィーバー機動戦士ガンダムユニコーン 再来 99ver.,パチンコ,176,32.0,50.0,58.0,0.8238636363636364,77.6
1314,Pドラムだ!金ドン 花火外伝 99ver.,パチンコ,176,40.0,45.0,21.0,0.7784090909090909,78.8
1315,e 犬夜叉3.0 LTM-TS,スマパチ,91,17.0,17.0,22.0,0.8241758241758241,81.6
1316,eフィーバー炎炎ノ消防隊2 シンラver.,スマパチ,91,74.0,70.0,77.0,0.19780219780219777,20.4
1317,eフィーバー炎炎ノ消防隊2 紅丸ver.,スマパチ,91,73.0,71.0,88.0,0.20879120879120883,19.0
1318,e一方通行 とある魔術の禁書目録 JKZ,スマパチ,91,80.0,82.0,83.0,0.13186813186813184,12.1
1319,e冒険島 EHLC2,スマパチ,91,15.0,14.0,26.0,0.8461538461538461,83.1
1320,e東京リベンジャーズ GFEC,スマパチ,91,60.0,56.0,72.0,0.3516483516483516,34.3
1321,ハイビリターン-30,その他,65,24.0,3.0,12.0,0.6461538461538461,75.5
1322,PAコマコマ倶楽部with坂本冬美 89STver.,パチンコ,176,71.0,158.0,134.0,0.6022727272727273,42.5
1323,e マギアレコード 魔法少女まどか☆マギカ外伝 KRJ1,まどマギ,7,3.0,3.0,3.0,0.7142857142857143,71.4
1324,デカスタe花の慶次～傾奇一転 H6,その他,65,9.0,10.0,11.0,0.8769230769230769,86.8
1325,L アズールレーン THE ANIMATION,スマスロ,155,74.0,56.0,104.0,0.5290322580645161,52.9
1326,L ダーリン・イン・ザ・フランキス,スマスロ,155,58.0,28.0,45.0,0.6322580645161291,69.3
1327,LBマタドールⅢ,スマスロ,155,72.0,145.0,57.0,0.5419354838709678,43.9
1328,Lパチスロ 転生したら剣でした,スマスロ,155,76.0,91.0,83.0,0.5161290322580645,48.5
1329,L咲-Saki- 頂上決戦,スマスロ,155,47.0,54.0,33.0,0.7032258064516129,70.5
1330,Pクイーンズブレイド奈落 5400,パチンコ,176,61.0,39.0,36.0,0.6590909090909092,71.2
1331,Pフィーバー戦姫絶唱シンフォギア4 LT-Light ver.,パチンコ,176,168.0,147.0,144.0,0.051136363636363646,10.1
1332,Pフィーバー戦姫絶唱シンフォギア4 Light ver.,パチンコ,176,147.0,161.0,149.0,0.17045454545454541,14.9
1333,eシャーマンキング MH,スマパチ,91,36.0,35.0,42.0,0.6153846153846154,60.8
1334,eシャーマンキング でっけぇえなver.,スマパチ,91,87.0,87.0,62.0,0.05494505494505497,9.6
1335,e牙狼12黄金騎士極限 XX-MJ,スマパチ,91,9.0,10.0,44.0,0.9120879120879121,85.2
1336,e真・一騎当千～軍神覚醒～ 319大入りver.,スマパチ,91,64.0,59.0,50.0,0.3076923076923077,34.5
1337,e黄門ちゃま寿限無 LLサイズ 9HC3,スマパチ,91,91.0,83.0,52.0,0.01098901098901095,9.7
1338,e GODZILLA7 TYPE-CRASH,スマパチ,91,22.0,22.0,29.0,0.7692307692307692,75.8
1339,e女神のカフェテラス JLZ,スマパチ,91,29.0,25.0,31.0,0.6923076923076923,70.0
1340,LBトリプルクラウン(2025年),スマスロ,155,155.0,155.0,153.0,0.006451612903225823,0.8
1341,もっと!クレアの秘宝伝～女神の歌声と太陽の子供達～,その他,65,59.0,64.0,31.0,0.10769230769230764,15.3
1342,ドンちゃん2(2019年),その他,65,65.0,65.0,60.0,0.01538461538461533,2.7
1343,ネオアイムジャグラーEX,ジャグラー,9,3.0,3.0,8.0,0.7777777777777778,69.4
1344,LBクレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,スマスロ,155,84.0,143.0,127.0,0.46451612903225803,32.8
1345,Lスマスロ ドルアーガの塔,スマスロ,155,107.0,140.0,81.0,0.31612903225806455,28.8
1346,Lスマスロ 東京リベンジャーズ,スマスロ,155,32.0,40.0,54.0,0.8,76.6
1347,P FAIRY TAIL 超一夜Ver.,パチンコ,176,158.0,127.0,94.0,0.10795454545454541,20.7
1348,P アズールレーン THE ANIMATION 異次元トリガー 79ver.,パチンコ,176,142.0,145.0,145.0,0.19886363636363635,19.2
1349,PAぱちんこ シン・エヴァンゲリオン PREMIUM MODEL,エヴァ,13,2.0,7.0,4.0,0.9230769230769231,80.4
1350,P戦国乙女7 終焉の関ケ原 LLサイズ 299ver.,パチンコ,176,167.0,118.0,83.0,0.05681818181818177,19.8
1351,SLOTドルアーガの塔,その他,65,29.0,24.0,13.0,0.5692307692307692,62.5
1352,eパリピ孔明 NB,スマパチ,91,27.0,31.0,33.0,0.7142857142857143,69.3
1353,eフィーバーブルーロック MZ,スマパチ,91,50.0,45.0,47.0,0.46153846153846156,48.0
1354,デジハネP 頭文字D せかんど GCPC,その他,65,2.0,4.0,7.0,0.9846153846153847,96.5
1355,LBマジカルハロウィン ボーナストリガー,スマスロ,155,87.0,142.0,53.0,0.44516129032258067,38.9
1356,P【超甘LT】豊丸のとあるパチンコにしみけん参戦 感度UP1/39,パチンコ,176,19.0,28.0,11.0,0.8977272727272727,89.2
1357,Pルパン三世 ONE COLLECTION 100ver.,パチンコ,176,103.0,116.0,48.0,0.4204545454545454,44.9
1358,デカスタPデビルマン THE FINAL 179ver.,その他,65,7.0,8.0,19.0,0.9076923076923077,87.6
1359,Lスマスロ バベル(2025年),スマスロ,155,29.0,22.0,11.0,0.8193548387096774,84.8
1360,Lスマスロ 新鬼武者3,スマスロ,155,46.0,48.0,73.0,0.7096774193548387,68.0
1361,L主役は銭形5,スマスロ,155,75.0,33.0,66.0,0.5225806451612903,59.9
1362,P 冬のソナタ My Memory SWEET Version,パチンコ,176,45.0,128.0,164.0,0.75,53.1
1363,PAフィーバーダンジョンに出会いを求めるのは間違っているだろうか2 LT-Light ver.,パチンコ,176,38.0,36.0,27.0,0.7897727272727273,80.2
1364,Pスーパー海物語IN沖縄6 LTP,海,17,11.0,6.0,15.0,0.4117647058823529,45.0
1365,e ベルセルク無双 第2章 H3,スマパチ,91,26.0,28.0,24.0,0.7252747252747253,72.3
1366,e 聖戦士ダンバイン3 ZEROSONIC GREA,スマパチ,91,70.0,66.0,60.0,0.2417582417582418,26.9
1367,eとある科学の超電磁砲 PHASE NEXT LTRSY,スマパチ,91,1.0,1.0,1.0,1.0,100.0
1368,eガールズ＆パンツァー 最終章 LAH1,スマパチ,91,45.0,44.0,40.0,0.5164835164835164,52.7
1369,L 荒野のコトブキ飛行隊,スマスロ,155,16.0,19.0,9.0,0.9032258064516129,90.5
1370,LB SHAKE BONUS TRIGGER,スマスロ,155,30.0,104.0,145.0,0.8129032258064516,58.2
1371,PA義風堂々!!～兼続と慶次～3 99Ver.,パチンコ,176,165.0,150.0,109.0,0.06818181818181823,13.7
1372,Pゴッドイーター199 ゴッドトリガーVER.,パチンコ,176,15.0,6.0,35.0,0.9204545454545454,91.6
1373,デカスタP STEINS；GATE 0 まゆしぃば～じょん,その他,65,12.0,41.0,15.0,0.8307692307692307,71.2
1374,L 絶対衝激Ⅳ,スマスロ,155,54.0,47.0,18.0,0.6580645161290323,70.4
1375,Lスマスロ とある科学の超電磁砲2,スマスロ,155,67.0,78.0,52.0,0.5741935483870968,57.1
1376,Lパチスロ 革命機ヴァルヴレイヴ2,スマスロ,155,48.0,32.0,133.0,0.6967741935483871,64.0
1377,P Re:ゼロから始める異世界生活 鬼がかり 199ver.,パチンコ,176,122.0,62.0,42.0,0.3125,46.6
1378,P Re:ゼロから始める異世界生活 鬼がかり 99ver.,パチンコ,176,136.0,130.0,55.0,0.23295454545454541,31.1
1379,P いくさの子 戦極最強 ドデカ199ver.,パチンコ,176,31.0,18.0,2.0,0.8295454545454546,87.3
1380,Pはねものファインプレー H3,パチンコ,176,58.0,174.0,173.0,0.6761363636363636,41.3
1381,P転生したらスライムだった件 129ver.,パチンコ,176,18.0,43.0,161.0,0.9034090909090909,74.6
1382,e ノーゲーム・ノーライフ 199Ver.,スマパチ,91,55.0,48.0,49.0,0.4065934065934066,43.6
1383,e ノーゲーム・ノーライフ 319Ver.,スマパチ,91,41.0,38.0,23.0,0.5604395604395604,59.8
1384,e 仮面ライダー電王 デカヘソ239,スマパチ,91,88.0,84.0,46.0,0.04395604395604391,12.4
1385,eとある科学の超電磁砲 PHASE NEXT LT RSY,スマパチ,91,54.0,51.0,66.0,0.41758241758241754,40.6
1386,eフィーバーもののがたり F,スマパチ,91,85.0,77.0,78.0,0.07692307692307687,11.0
1387,eルパン三世VSキャッツ・アイ MAH4,スマパチ,91,75.0,74.0,63.0,0.18681318681318682,20.9
1388,e源外伝 EPISODE OF -大龍- EHLG,スマパチ,91,34.0,36.0,43.0,0.6373626373626373,61.7
1389,e花の慶次～黄金の一撃 H4,スマパチ,91,84.0,80.0,74.0,0.08791208791208793,11.5
1390,Lスマスロネオプラネット,スマスロ,155,27.0,35.0,30.0,0.832258064516129,81.6
1391,Pメイドインアビス 奈落の連環蝕 SL,パチンコ,176,17.0,14.0,12.0,0.9090909090909091,91.8
1392,e女神のカフェテラス FLX,スマパチ,91,8.0,7.0,11.0,0.9230769230769231,92.1
1393,Lスマスロ 化物語,スマスロ,155,34.0,58.0,122.0,0.7870967741935484,66.3
1394,Lバーニングエクスプレス,スマスロ,155,14.0,12.0,22.0,0.9161290322580645,91.2
1395,Lプリズムナナ(2025年),スマスロ,155,95.0,51.0,64.0,0.3935483870967742,49.5
1396,L銀河英雄伝説 Die Neue These,スマスロ,155,35.0,42.0,70.0,0.7806451612903226,73.5
1397,PAフィーバーからくりサーカス2 Light ver.,パチンコ,176,50.0,52.0,64.0,0.7215909090909092,70.7
1398,PA海物語 極JAPAN Withナギナミ HBD,海,17,10.0,15.0,7.0,0.47058823529411764,42.4
1399,PA野生の王国Ⅵ N2,パチンコ,176,138.0,166.0,147.0,0.22159090909090906,17.4
1400,e アズールレーン2 THE ANIMATION 超次元 K6,スマパチ,91,65.0,61.0,58.0,0.29670329670329665,31.9
1401,e 北斗の拳11 暴凶星 SHEF,北斗,14,5.0,6.0,7.0,0.7142857142857143,67.5
1402,eうしおととら～神のせSPEC～ 150ver.,スマパチ,91,52.0,54.0,71.0,0.43956043956043955,40.3
1403,e地獄少女 7500Ver.,スマパチ,91,90.0,79.0,86.0,0.02197802197802201,5.9
1404,L 無職転生 ～異世界行ったら本気だす～,スマスロ,155,49.0,52.0,40.0,0.6903225806451613,69.4
1405,LB不二子BT,スマスロ,155,42.0,141.0,148.0,0.7354838709677419,47.3
1406,Lスマスロ 沖ドキ!DUO アンコール,沖スロ,23,12.0,4.0,9.0,0.5217391304347826,62.8
1407,Lスマスロ 秘宝伝(2025年),スマスロ,155,69.0,90.0,44.0,0.5612903225806452,55.2
1408,P沖ドキ!ドキドキ弾丸ツアー LG,沖スロ,23,9.0,12.0,1.0,0.6521739130434783,67.2
1409,e 新世紀エヴァンゲリオン ～はじまりの記憶～ R,エヴァ,13,1.0,1.0,9.0,1.0,90.8
1410,LBスマート沖スロ ニューキングハナハナV,沖スロ,23,6.0,11.0,20.0,0.782608695652174,63.7
1411,Lスマスロ 北斗の拳 転生の章2,北斗,14,6.0,1.0,14.0,0.6428571428571428,64.6
1412,Lスマスロ鉄拳6,スマスロ,155,44.0,41.0,93.0,0.7225806451612904,68.0
1413,P ゴジラ対エヴァンゲリオン2 超デカシルバー,エヴァ,13,4.0,5.0,5.0,0.7692307692307692,73.8
1414,PA清流物語4 ウキウキ79ver.,パチンコ,176,79.0,149.0,163.0,0.5568181818181819,38.6
1415,Pフィーバーうたわれるもの LT-Light ver.,パチンコ,176,20.0,24.0,30.0,0.8920454545454546,87.8
1416,Pフィーバー彼女、お借りします LT-Light ver.,パチンコ,176,75.0,67.0,67.0,0.5795454545454546,59.8
1417,SBニューキングハナハナV-30,沖スロ,23,1.0,9.0,18.0,1.0,80.2
1418,e ゴジラ対エヴァンゲリオン2 超デカゴールド,エヴァ,13,9.0,6.0,6.0,0.3846153846153846,47.7
1419,e ソードアート・オンライン 閃光の軌跡 99Ver.,スマパチ,91,78.0,91.0,91.0,0.15384615384615385,9.7
1420,e 盾の勇者の成り上がり アルティメット199ver.,スマパチ,91,62.0,46.0,30.0,0.3296703296703297,42.6
1421,eようこそ実力至上主義の教室へ MA,スマパチ,91,71.0,68.0,89.0,0.23076923076923073,20.9
1422,e吉宗 極乗3000ver.,スマパチ,91,83.0,81.0,75.0,0.09890109890109888,11.8
1423,P【超甘LT】華牌RR 1/49×99de遊タイム,パチンコ,176,84.0,129.0,60.0,0.5284090909090908,48.5
1424,P閃乱カグラ 189大入りver.,パチンコ,176,172.0,141.0,104.0,0.02840909090909094,13.0
1425,e ULTRAMAN 4500超ライト,スマパチ,91,20.0,21.0,25.0,0.7912087912087912,78.0
1426,e範馬刃牙 199ver.,スマパチ,91,44.0,40.0,47.0,0.5274725274725275,53.4
1427,Lスマスロ ゴブリンスレイヤーⅡ,スマスロ,155,36.0,13.0,15.0,0.7741935483870968,83.2
1428,Lスマスロ ハナビ(2026年),スマスロ,155,41.0,146.0,141.0,0.7419354838709677,47.6
1429,Lスマスロ 攻殻機動隊(2026年),スマスロ,155,15.0,23.0,68.0,0.9096774193548387,84.5
1430,Lパチスロ 炎炎ノ消防隊2,スマスロ,155,24.0,31.0,58.0,0.8516129032258064,80.7
1431,Lパチスロうみねこのなく頃に2,スマスロ,155,5.0,92.0,155.0,0.9741935483870968,68.9
1432,L範馬刃牙,スマスロ,155,61.0,61.0,28.0,0.6129032258064516,64.5
1433,PA乗物娘 with CYBER JAPAN DANCERS 2nd season 77ver.,パチンコ,176,35.0,111.0,90.0,0.8068181818181819,65.2
1434,P俺の妹がこんなに可愛いわけがない。 攻略!!スキップ159ver.,パチンコ,176,10.0,7.0,38.0,0.9488636363636364,92.9
1435,P冴えない彼女の育てかた 99ver.,パチンコ,176,106.0,92.0,100.0,0.40340909090909094,42.8
1436,P黄門ちゃま寿限無 99ver.,パチンコ,176,119.0,114.0,150.0,0.3295454545454546,31.0
1437,e 真・北斗無双 第5章 夢幻闘双 SCEA,北斗,14,11.0,7.0,3.0,0.2857142857142857,44.3
1438,eフィーバーBASTARD!! -暗黒の破壊神- G,スマパチ,91,82.0,73.0,73.0,0.10989010989010994,14.9
1439,e異世界でチート能力を手にした俺は現実世界をも無双する ～レベルアップは人生を変えた～ FSZ,スマパチ,91,86.0,86.0,79.0,0.06593406593406592,7.7
1440,P黄門ちゃま寿限無 LLサイズ 259ver.,パチンコ,176,111.0,125.0,43.0,0.375,41.3
1441,P 俺の妹がこんなに可愛いわけがない。 攻略!!スキップ159ver.,パチンコ,176,80.0,57.0,115.0,0.5511363636363636,55.4
1442,LBスマスロ サンダーV(2026年),スマスロ,155,22.0,105.0,150.0,0.864516129032258,60.7
1443,Lスマスロ 甲鉄城のカバネリ 海門決戦,スマスロ,155,4.0,8.0,136.0,0.9806451612903225,84.6
1444,P Re:ゼロから始める異世界生活 season2 129ver.,パチンコ,176,86.0,56.0,55.0,0.5170454545454546,58.6
1445,P Re:ゼロから始める異世界生活 season2 249ver.,パチンコ,176,124.0,71.0,84.0,0.30113636363636365,41.1
1446,P戦国乙女7 終焉の関ケ原 99ver.,パチンコ,176,147.0,146.0,158.0,0.17045454545454541,16.2
1447,P痛いのは嫌なので防御力に極振りしたいと思います。 極振り129ver,パチンコ,176,133.0,98.0,70.0,0.25,35.3
1448,e 甲鉄城のカバネリ2 咲かせや燦然 GFEA,スマパチ,91,46.0,42.0,38.0,0.5054945054945055,53.0
1449,e 魔法少女まどか☆マギカ3 時間遡行～始まりの願い～ LPM1,まどマギ,7,5.0,5.0,4.0,0.4285714285714286,45.0
1450,eアクダマドライブ EHLT,スマパチ,91,56.0,53.0,41.0,0.39560439560439564,42.9
1451,eフィーバーダンベル何キロ持てる？2 F,スマパチ,91,77.0,72.0,70.0,0.1648351648351648,19.0
1452,eワンパンマン2～正義執行 LM10,スマパチ,91,69.0,76.0,64.0,0.25274725274725274,24.2
1453,e牙狼11～冴島大河～ 魔戒BURST Ver.,スマパチ,91,57.0,60.0,53.0,0.3846153846153846,38.3
1454,P モモキュンソード 速撃99ver.,パチンコ,176,90.0,99.0,66.0,0.49431818181818177,50.2
1455,Pえとたま2 神祭 干支甘,パチンコ,176,30.0,32.0,33.0,0.8352272727272727,83.0
1456,e スマパチ SSSS.GRIDMAN メガSTART 159ver.,スマパチ,91,72.0,89.0,35.0,0.21978021978021978,23.4
1457,e 乃木坂46 Ⅱ SWEET Version,スマパチ,91,59.0,90.0,37.0,0.3626373626373627,31.4
1458,LB A-SLOT+ 異世界かるてっと BT,スマスロ,155,38.0,99.0,115.0,0.7612903225806451,58.8
1459,Lアクダマドライブ,スマスロ,155,121.0,43.0,29.0,0.22580645161290325,44.1
1460,Lスマスロヨルムンガンド,スマスロ,155,21.0,18.0,17.0,0.8709677419354839,88.0
1461,L真打 吉宗,スマスロ,155,6.0,4.0,5.0,0.967741935483871,97.2
1462,L虚構推理,スマスロ,155,26.0,27.0,32.0,0.8387096774193549,83.1
1463,P にゃんこ大戦争 多様性のネコ 神さまにおまかせ88ver.,パチンコ,176,67.0,83.0,162.0,0.625,52.1
1464,P ウルトラマンメビウス デカヘソ319,パチンコ,176,37.0,15.0,14.0,0.7954545454545454,84.6
1465,e 終末のワルキューレ EREA,スマパチ,91,30.0,18.0,13.0,0.6813186813186813,74.2
1466,eラグナドール 妖しき皇帝と終焉の夜叉姫 CMB,スマパチ,91,25.0,26.0,21.0,0.7362637362637363,74.0
1467,eリコリス・リコイル M3,スマパチ,91,3.0,3.0,7.0,0.978021978021978,97.1
1468,e転生したらスライムだった件2 MF,スマパチ,91,39.0,39.0,55.0,0.5824175824175823,55.6
1469,Lアニマルスロットドッチ,スマスロ,155,19.0,17.0,13.0,0.8838709677419355,89.3
1470,Lスマスロ ミリオンゴッド-神々の軌跡-,スマスロ,155,3.0,3.0,2.0,0.9870967741935484,98.8
1471,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,スマスロ,155,8.0,6.0,6.0,0.9548387096774194,96.0
1472,e86-エイティシックス- MAM2,スマパチ,91,28.0,23.0,17.0,0.7032967032967032,73.5
1473,eフィーバーキン肉マン,スマパチ,91,14.0,15.0,18.0,0.8571428571428572,84.8
1474,eリング 最恐領域 RHA,スマパチ,91,35.0,34.0,28.0,0.6263736263736264,64.1
1475,Lスマスロ スーパーリオエース2,スマスロ,155,9.0,11.0,10.0,0.9483870967741935,94.4
1476,Lスマスロ バイオハザードRE:3,スマスロ,155,25.0,20.0,19.0,0.8451612903225807,85.9
1477,Lスマスロ ビッグドリーム THE GOLDEN PUSHER,スマスロ,155,28.0,5.0,4.0,0.8258064516129032,88.6
1478,Lタクトオーパス デスティニー,スマスロ,155,11.0,15.0,16.0,0.935483870967742,92.4
1479,Pクイーンズブレイド奈落 ナナエル79Ver.,パチンコ,176,39.0,31.0,23.0,0.7840909090909091,80.9
1480,PフィーバークィーンⅡ YS,パチンコ,176,43.0,154.0,167.0,0.7613636363636364,49.8
1481,e バイオハザード6 APN,スマパチ,91,19.0,13.0,10.0,0.8021978021978022,83.4
1482,eひきこまり吸血姫の悶々 FHV,スマパチ,91,4.0,4.0,4.0,0.967032967032967,96.7
1483,eまわるん超ワープ ギンギラパラダイス VIVA FESTA HTA2,スマパチ,91,16.0,24.0,39.0,0.8351648351648352,77.5
1484,eカケグルイ 7500ver,スマパチ,91,13.0,11.0,15.0,0.8681318681318682,87.0
1485,eライザのアトリエ 常闇の女王と秘密の隠れ家 K3,スマパチ,91,11.0,12.0,14.0,0.8901098901098901,88.2
1486,eルパン三世VSキャッツ・アイ 157ver. 極限突破ブッた斬り7500,スマパチ,91,31.0,30.0,12.0,0.6703296703296704,70.4
1487,デカスタP戦国無双 100ver.,その他,65,3.0,12.0,8.0,0.9692307692307692,92.3
1488,LBスロットGALFY,スマスロ,155,10.0,44.0,87.0,0.9419354838709677,81.3
1489,P 犬夜叉3.0 大入り 甘SPEC,パチンコ,176,4.0,8.0,3.0,0.9829545454545454,97.8
1490,Lスマスロ BIRDIE WING -Golf Girls’ Story-,スマスロ,155,7.0,7.0,7.0,0.9612903225806452,96.1
1491,Lスロット ソードアート・オンラインⅡ,スマスロ,155,2.0,1.0,1.0,0.9935483870967742,99.6
1492,L戦国乙女5 業火を穿つ宿焔の双刃,スマスロ,155,1.0,2.0,3.0,1.0,99.6
1493,P 魔法少女まどか☆マギカ3 キュゥべえver.,まどマギ,7,2.0,2.0,2.0,0.8571428571428572,85.7
1494,PAスーパー海物語IN沖縄6 Withえなこ RBD,海,17,1.0,3.0,1.0,1.0,97.1
1495,PA花の慶次～傾奇一転 87ver.,パチンコ,176,2.0,25.0,7.0,0.9943181818181818,95.7
1496,e 化物語 鬼99ver.,スマパチ,91,6.0,8.0,6.0,0.945054945054945,94.0
1497,e 学園黙示録ハイスクール・オブ・ザ・デッド3 V1A,スマパチ,91,10.0,9.0,5.0,0.9010989010989011,91.2
1498,e 東京喰種 超デカ 超一撃 ver.,東京喰種,3,1.0,1.0,1.0,1.0,100.0
1499,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,スマパチ,91,2.0,2.0,2.0,0.989010989010989,98.9
1500,eフィーバー デッドマウント・デスプレイ 魂神9000,スマパチ,91,5.0,5.0,3.0,0.9560439560439561,95.9
1501,e冥妃転生 CMP,スマパチ,91,7.0,6.0,8.0,0.9340659340659341,93.5
1502,遊moreLT PエガブレイブVVV AX4,その他,65,1.0,5.0,1.0,1.0,98.5
